Action, Loc y/x, Chrg Station, Floor Type, Dirt Present, North, East, South, West, Battery, Dirt Capacity
CHECK_SENSOR, 1/8, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,23.0,25
MOVE, 1/7, No, BARE_FLOOR, Yes,OBSTICLE,OPEN,OPEN,OPEN,22.0,25
CHECK_SENSOR, 1/7, No, BARE_FLOOR, Yes,OBSTICLE,OPEN,OPEN,OPEN,22.0,25
SWEEP, 1/7, No, BARE_FLOOR, Yes,OBSTICLE,OPEN,OPEN,OPEN,21.0,24
CHECK_SENSOR, 1/7, No, BARE_FLOOR, No,OBSTICLE,OPEN,OPEN,OPEN,21.0,24
MOVE, 0/7, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,20.0,24
CHECK_SENSOR, 0/7, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,20.0,24
MOVE, 0/6, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,19.0,24
CHECK_SENSOR, 0/6, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,19.0,24
MOVE, 0/5, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,18.0,24
CHECK_SENSOR, 0/5, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,18.0,24
MOVE, 0/4, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,17.0,24
CHECK_SENSOR, 0/4, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,17.0,24
MOVE, 0/3, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,16.0,24
CHECK_SENSOR, 0/3, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,16.0,24
MOVE, 0/2, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,15.0,24
CHECK_SENSOR, 0/2, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,15.0,24
MOVE, 0/1, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,14.0,24
CHECK_SENSOR, 0/1, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,14.0,24
MOVE, 0/0, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OBSTICLE,13.0,24
CHECK_SENSOR, 0/0, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OBSTICLE,13.0,24
MOVE, 1/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,12.0,24
CHECK_SENSOR, 1/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,12.0,24
MOVE, 2/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,11.0,24
CHECK_SENSOR, 2/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,11.0,24
MOVE, 3/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,10.0,24
CHECK_SENSOR, 3/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,10.0,24
MOVE, 4/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,9.0,24
CHECK_SENSOR, 4/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,9.0,24
MOVE, 5/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,8.0,24
CHECK_SENSOR, 5/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,8.0,24
MOVE, 6/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,7.0,24
CHECK_SENSOR, 6/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,7.0,24
MOVE, 6/1, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,6.0,24
CHECK_SENSOR, 6/1, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,6.0,24
MOVE, 6/2, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,5.0,24
CHECK_SENSOR, 6/2, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,5.0,24
MOVE, 6/3, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,4.0,24
CHECK_SENSOR, 6/3, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,4.0,24
MOVE, 6/4, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,3.0,24
CHECK_SENSOR, 6/4, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,3.0,24
MOVE, 6/5, Yes, BARE_FLOOR, Yes,OBSTICLE,OPEN,OBSTICLE,OPEN,2.0,24
CHECK_SENSOR, 6/5, Yes, BARE_FLOOR, Yes,OBSTICLE,OPEN,OBSTICLE,OPEN,2.0,24
MOVE, 6/4, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,49.0,24
CHECK_SENSOR, 6/4, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,49.0,24
MOVE, 6/3, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,48.0,24
CHECK_SENSOR, 6/3, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,48.0,24
MOVE, 6/2, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,47.0,24
CHECK_SENSOR, 6/2, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,47.0,24
MOVE, 6/1, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,46.0,24
CHECK_SENSOR, 6/1, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,46.0,24
MOVE, 6/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,45.0,24
CHECK_SENSOR, 6/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,45.0,24
MOVE, 5/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,44.0,24
CHECK_SENSOR, 5/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,44.0,24
MOVE, 4/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,43.0,24
CHECK_SENSOR, 4/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,43.0,24
MOVE, 3/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,42.0,24
CHECK_SENSOR, 3/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,42.0,24
MOVE, 2/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,41.0,24
CHECK_SENSOR, 2/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,41.0,24
MOVE, 1/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,40.0,24
CHECK_SENSOR, 1/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,40.0,24
MOVE, 0/0, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OBSTICLE,39.0,24
CHECK_SENSOR, 0/0, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OBSTICLE,39.0,24
MOVE, 0/1, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,38.0,24
CHECK_SENSOR, 0/1, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,38.0,24
MOVE, 0/2, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,37.0,24
CHECK_SENSOR, 0/2, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,37.0,24
MOVE, 0/3, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,36.0,24
CHECK_SENSOR, 0/3, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,36.0,24
MOVE, 0/4, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,35.0,24
CHECK_SENSOR, 0/4, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,35.0,24
MOVE, 0/5, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,34.0,24
CHECK_SENSOR, 0/5, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,34.0,24
MOVE, 0/6, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,33.0,24
CHECK_SENSOR, 0/6, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,33.0,24
MOVE, 0/7, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,32.0,24
CHECK_SENSOR, 0/7, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OPEN,32.0,24
MOVE, 1/7, No, BARE_FLOOR, No,OBSTICLE,OPEN,OPEN,OPEN,31.0,24
CHECK_SENSOR, 1/7, No, BARE_FLOOR, No,OBSTICLE,OPEN,OPEN,OPEN,31.0,24
MOVE, 1/6, No, BARE_FLOOR, Yes,OBSTICLE,OPEN,OPEN,OPEN,30.0,24
CHECK_SENSOR, 1/6, No, BARE_FLOOR, Yes,OBSTICLE,OPEN,OPEN,OPEN,30.0,24
SWEEP, 1/6, No, BARE_FLOOR, Yes,OBSTICLE,OPEN,OPEN,OPEN,29.0,23
CHECK_SENSOR, 1/6, No, BARE_FLOOR, No,OBSTICLE,OPEN,OPEN,OPEN,29.0,23
MOVE, 1/5, No, BARE_FLOOR, Yes,OPEN,OPEN,OPEN,OPEN,28.0,23
CHECK_SENSOR, 1/5, No, BARE_FLOOR, Yes,OPEN,OPEN,OPEN,OPEN,28.0,23
SWEEP, 1/5, No, BARE_FLOOR, Yes,OPEN,OPEN,OPEN,OPEN,27.0,22
CHECK_SENSOR, 1/5, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,27.0,22
MOVE, 1/4, No, BARE_FLOOR, Yes,OPEN,OPEN,OPEN,OPEN,26.0,22
CHECK_SENSOR, 1/4, No, BARE_FLOOR, Yes,OPEN,OPEN,OPEN,OPEN,26.0,22
SWEEP, 1/4, No, BARE_FLOOR, Yes,OPEN,OPEN,OPEN,OPEN,25.0,21
CHECK_SENSOR, 1/4, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,25.0,21
MOVE, 1/3, No, BARE_FLOOR, Yes,OBSTICLE,OPEN,OPEN,OPEN,24.0,21
CHECK_SENSOR, 1/3, No, BARE_FLOOR, Yes,OBSTICLE,OPEN,OPEN,OPEN,24.0,21
SWEEP, 1/3, No, BARE_FLOOR, Yes,OBSTICLE,OPEN,OPEN,OPEN,23.0,20
CHECK_SENSOR, 1/3, No, BARE_FLOOR, No,OBSTICLE,OPEN,OPEN,OPEN,23.0,20
MOVE, 1/2, No, BARE_FLOOR, Yes,OBSTICLE,OPEN,OPEN,OPEN,22.0,20
CHECK_SENSOR, 1/2, No, BARE_FLOOR, Yes,OBSTICLE,OPEN,OPEN,OPEN,22.0,20
SWEEP, 1/2, No, BARE_FLOOR, Yes,OBSTICLE,OPEN,OPEN,OPEN,21.0,19
CHECK_SENSOR, 1/2, No, BARE_FLOOR, No,OBSTICLE,OPEN,OPEN,OPEN,21.0,19
MOVE, 1/1, No, BARE_FLOOR, Yes,OPEN,OPEN,OPEN,OPEN,20.0,19
CHECK_SENSOR, 1/1, No, BARE_FLOOR, Yes,OPEN,OPEN,OPEN,OPEN,20.0,19
SWEEP, 1/1, No, BARE_FLOOR, Yes,OPEN,OPEN,OPEN,OPEN,19.0,18
CHECK_SENSOR, 1/1, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,19.0,18
MOVE, 2/1, No, BARE_FLOOR, Yes,OPEN,OBSTICLE,OPEN,OPEN,18.0,18
CHECK_SENSOR, 2/1, No, BARE_FLOOR, Yes,OPEN,OBSTICLE,OPEN,OPEN,18.0,18
SWEEP, 2/1, No, BARE_FLOOR, Yes,OPEN,OBSTICLE,OPEN,OPEN,17.0,17
CHECK_SENSOR, 2/1, No, BARE_FLOOR, No,OPEN,OBSTICLE,OPEN,OPEN,17.0,17
MOVE, 3/1, No, BARE_FLOOR, Yes,OPEN,OPEN,OPEN,OPEN,16.0,17
CHECK_SENSOR, 3/1, No, BARE_FLOOR, Yes,OPEN,OPEN,OPEN,OPEN,16.0,17
SWEEP, 3/1, No, BARE_FLOOR, Yes,OPEN,OPEN,OPEN,OPEN,15.0,16
CHECK_SENSOR, 3/1, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,15.0,16
MOVE, 3/2, No, BARE_FLOOR, Yes,OPEN,OPEN,OPEN,OPEN,14.0,16
CHECK_SENSOR, 3/2, No, BARE_FLOOR, Yes,OPEN,OPEN,OPEN,OPEN,14.0,16
SWEEP, 3/2, No, BARE_FLOOR, Yes,OPEN,OPEN,OPEN,OPEN,13.0,15
CHECK_SENSOR, 3/2, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,13.0,15
MOVE, 2/2, No, BARE_FLOOR, Yes,OPEN,OPEN,OBSTICLE,OBSTICLE,12.0,15
CHECK_SENSOR, 2/2, No, BARE_FLOOR, Yes,OPEN,OPEN,OBSTICLE,OBSTICLE,12.0,15
MOVE, 3/2, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,11.0,15
CHECK_SENSOR, 3/2, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,11.0,15
MOVE, 3/1, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,10.0,15
CHECK_SENSOR, 3/1, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,10.0,15
MOVE, 3/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,9.0,15
CHECK_SENSOR, 3/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,9.0,15
MOVE, 4/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,8.0,15
CHECK_SENSOR, 4/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,8.0,15
MOVE, 5/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,7.0,15
CHECK_SENSOR, 5/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,7.0,15
MOVE, 6/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,6.0,15
CHECK_SENSOR, 6/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,6.0,15
MOVE, 6/1, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,5.0,15
CHECK_SENSOR, 6/1, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,5.0,15
MOVE, 6/2, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,4.0,15
CHECK_SENSOR, 6/2, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,4.0,15
MOVE, 6/3, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,3.0,15
CHECK_SENSOR, 6/3, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,3.0,15
MOVE, 6/4, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,2.0,15
CHECK_SENSOR, 6/4, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,2.0,15
MOVE, 6/5, Yes, BARE_FLOOR, Yes,OBSTICLE,OPEN,OBSTICLE,OPEN,1.0,15
CHECK_SENSOR, 6/5, Yes, BARE_FLOOR, Yes,OBSTICLE,OPEN,OBSTICLE,OPEN,1.0,15
MOVE, 6/4, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,49.0,15
CHECK_SENSOR, 6/4, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,49.0,15
MOVE, 6/3, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,48.0,15
CHECK_SENSOR, 6/3, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,48.0,15
MOVE, 6/2, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,47.0,15
CHECK_SENSOR, 6/2, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,47.0,15
MOVE, 6/1, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,46.0,15
CHECK_SENSOR, 6/1, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,46.0,15
MOVE, 6/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,45.0,15
CHECK_SENSOR, 6/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,45.0,15
MOVE, 5/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,44.0,15
CHECK_SENSOR, 5/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,44.0,15
MOVE, 4/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,43.0,15
CHECK_SENSOR, 4/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,43.0,15
MOVE, 3/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,42.0,15
CHECK_SENSOR, 3/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,42.0,15
MOVE, 3/1, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,41.0,15
CHECK_SENSOR, 3/1, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,41.0,15
MOVE, 3/2, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,40.0,15
CHECK_SENSOR, 3/2, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,40.0,15
MOVE, 2/2, No, BARE_FLOOR, Yes,OPEN,OPEN,OBSTICLE,OBSTICLE,39.0,15
CHECK_SENSOR, 2/2, No, BARE_FLOOR, Yes,OPEN,OPEN,OBSTICLE,OBSTICLE,39.0,15
SWEEP, 2/2, No, BARE_FLOOR, Yes,OPEN,OPEN,OBSTICLE,OBSTICLE,38.0,14
CHECK_SENSOR, 2/2, No, BARE_FLOOR, No,OPEN,OPEN,OBSTICLE,OBSTICLE,38.0,14
MOVE, 2/3, No, BARE_FLOOR, Yes,OPEN,OBSTICLE,OBSTICLE,OPEN,37.0,14
CHECK_SENSOR, 2/3, No, BARE_FLOOR, Yes,OPEN,OBSTICLE,OBSTICLE,OPEN,37.0,14
SWEEP, 2/3, No, BARE_FLOOR, Yes,OPEN,OBSTICLE,OBSTICLE,OPEN,36.0,13
CHECK_SENSOR, 2/3, No, BARE_FLOOR, No,OPEN,OBSTICLE,OBSTICLE,OPEN,36.0,13
MOVE, 3/3, No, BARE_FLOOR, Yes,OPEN,OPEN,OPEN,OPEN,35.0,13
CHECK_SENSOR, 3/3, No, BARE_FLOOR, Yes,OPEN,OPEN,OPEN,OPEN,35.0,13
SWEEP, 3/3, No, BARE_FLOOR, Yes,OPEN,OPEN,OPEN,OPEN,34.0,12
CHECK_SENSOR, 3/3, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,34.0,12
MOVE, 3/4, No, BARE_FLOOR, Yes,OBSTICLE,OBSTICLE,OBSTICLE,OPEN,33.0,12
CHECK_SENSOR, 3/4, No, BARE_FLOOR, Yes,OBSTICLE,OBSTICLE,OBSTICLE,OPEN,33.0,12
SWEEP, 3/4, No, BARE_FLOOR, Yes,OBSTICLE,OBSTICLE,OBSTICLE,OPEN,32.0,11
CHECK_SENSOR, 3/4, No, BARE_FLOOR, No,OBSTICLE,OBSTICLE,OBSTICLE,OPEN,32.0,11
MOVE, 3/3, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,31.0,11
CHECK_SENSOR, 3/3, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,31.0,11
MOVE, 4/3, No, BARE_FLOOR, Yes,OBSTICLE,OPEN,OPEN,OPEN,30.0,11
CHECK_SENSOR, 4/3, No, BARE_FLOOR, Yes,OBSTICLE,OPEN,OPEN,OPEN,30.0,11
SWEEP, 4/3, No, BARE_FLOOR, Yes,OBSTICLE,OPEN,OPEN,OPEN,29.0,10
CHECK_SENSOR, 4/3, No, BARE_FLOOR, No,OBSTICLE,OPEN,OPEN,OPEN,29.0,10
MOVE, 4/2, No, BARE_FLOOR, Yes,OBSTICLE,OPEN,OPEN,OBSTICLE,28.0,10
CHECK_SENSOR, 4/2, No, BARE_FLOOR, Yes,OBSTICLE,OPEN,OPEN,OBSTICLE,28.0,10
SWEEP, 4/2, No, BARE_FLOOR, Yes,OBSTICLE,OPEN,OPEN,OBSTICLE,27.0,9
CHECK_SENSOR, 4/2, No, BARE_FLOOR, No,OBSTICLE,OPEN,OPEN,OBSTICLE,27.0,9
MOVE, 4/3, No, BARE_FLOOR, No,OBSTICLE,OPEN,OPEN,OPEN,26.0,9
CHECK_SENSOR, 4/3, No, BARE_FLOOR, No,OBSTICLE,OPEN,OPEN,OPEN,26.0,9
MOVE, 4/4, No, BARE_FLOOR, Yes,OBSTICLE,OBSTICLE,OBSTICLE,OPEN,25.0,9
CHECK_SENSOR, 4/4, No, BARE_FLOOR, Yes,OBSTICLE,OBSTICLE,OBSTICLE,OPEN,25.0,9
SWEEP, 4/4, No, BARE_FLOOR, Yes,OBSTICLE,OBSTICLE,OBSTICLE,OPEN,24.0,8
CHECK_SENSOR, 4/4, No, BARE_FLOOR, No,OBSTICLE,OBSTICLE,OBSTICLE,OPEN,24.0,8
MOVE, 4/3, No, BARE_FLOOR, No,OBSTICLE,OPEN,OPEN,OPEN,23.0,8
CHECK_SENSOR, 4/3, No, BARE_FLOOR, No,OBSTICLE,OPEN,OPEN,OPEN,23.0,8
MOVE, 3/3, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,22.0,8
CHECK_SENSOR, 3/3, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,22.0,8
MOVE, 3/2, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,21.0,8
CHECK_SENSOR, 3/2, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,21.0,8
MOVE, 3/1, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,20.0,8
CHECK_SENSOR, 3/1, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,20.0,8
MOVE, 4/1, No, BARE_FLOOR, Yes,OPEN,OBSTICLE,OPEN,OPEN,19.0,8
CHECK_SENSOR, 4/1, No, BARE_FLOOR, Yes,OPEN,OBSTICLE,OPEN,OPEN,19.0,8
SWEEP, 4/1, No, BARE_FLOOR, Yes,OPEN,OBSTICLE,OPEN,OPEN,18.0,7
CHECK_SENSOR, 4/1, No, BARE_FLOOR, No,OPEN,OBSTICLE,OPEN,OPEN,18.0,7
MOVE, 5/1, No, BARE_FLOOR, Yes,OPEN,OBSTICLE,OPEN,OPEN,17.0,7
CHECK_SENSOR, 5/1, No, BARE_FLOOR, Yes,OPEN,OBSTICLE,OPEN,OPEN,17.0,7
SWEEP, 5/1, No, BARE_FLOOR, Yes,OPEN,OBSTICLE,OPEN,OPEN,16.0,6
CHECK_SENSOR, 5/1, No, BARE_FLOOR, No,OPEN,OBSTICLE,OPEN,OPEN,16.0,6
MOVE, 4/1, No, BARE_FLOOR, No,OPEN,OBSTICLE,OPEN,OPEN,15.0,6
CHECK_SENSOR, 4/1, No, BARE_FLOOR, No,OPEN,OBSTICLE,OPEN,OPEN,15.0,6
MOVE, 3/1, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,14.0,6
CHECK_SENSOR, 3/1, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,14.0,6
MOVE, 2/1, No, BARE_FLOOR, No,OPEN,OBSTICLE,OPEN,OPEN,13.0,6
CHECK_SENSOR, 2/1, No, BARE_FLOOR, No,OPEN,OBSTICLE,OPEN,OPEN,13.0,6
MOVE, 1/1, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,12.0,6
CHECK_SENSOR, 1/1, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,12.0,6
MOVE, 1/2, No, BARE_FLOOR, No,OBSTICLE,OPEN,OPEN,OPEN,11.0,6
CHECK_SENSOR, 1/2, No, BARE_FLOOR, No,OBSTICLE,OPEN,OPEN,OPEN,11.0,6
MOVE, 1/1, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,10.0,6
CHECK_SENSOR, 1/1, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,10.0,6
MOVE, 2/1, No, BARE_FLOOR, No,OPEN,OBSTICLE,OPEN,OPEN,9.0,6
CHECK_SENSOR, 2/1, No, BARE_FLOOR, No,OPEN,OBSTICLE,OPEN,OPEN,9.0,6
MOVE, 3/1, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,8.0,6
CHECK_SENSOR, 3/1, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,8.0,6
MOVE, 4/1, No, BARE_FLOOR, No,OPEN,OBSTICLE,OPEN,OPEN,7.0,6
CHECK_SENSOR, 4/1, No, BARE_FLOOR, No,OPEN,OBSTICLE,OPEN,OPEN,7.0,6
MOVE, 5/1, No, BARE_FLOOR, No,OPEN,OBSTICLE,OPEN,OPEN,6.0,6
CHECK_SENSOR, 5/1, No, BARE_FLOOR, No,OPEN,OBSTICLE,OPEN,OPEN,6.0,6
MOVE, 6/1, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,5.0,6
CHECK_SENSOR, 6/1, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,5.0,6
MOVE, 6/2, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,4.0,6
CHECK_SENSOR, 6/2, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,4.0,6
MOVE, 6/3, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,3.0,6
CHECK_SENSOR, 6/3, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,3.0,6
MOVE, 6/4, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,2.0,6
CHECK_SENSOR, 6/4, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,2.0,6
MOVE, 6/5, Yes, BARE_FLOOR, Yes,OBSTICLE,OPEN,OBSTICLE,OPEN,1.0,6
CHECK_SENSOR, 6/5, Yes, BARE_FLOOR, Yes,OBSTICLE,OPEN,OBSTICLE,OPEN,1.0,6
MOVE, 6/4, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,49.0,6
CHECK_SENSOR, 6/4, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,49.0,6
MOVE, 6/3, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,48.0,6
CHECK_SENSOR, 6/3, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,48.0,6
MOVE, 6/2, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,47.0,6
CHECK_SENSOR, 6/2, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,47.0,6
MOVE, 6/1, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,46.0,6
CHECK_SENSOR, 6/1, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,46.0,6
MOVE, 5/1, No, BARE_FLOOR, No,OPEN,OBSTICLE,OPEN,OPEN,45.0,6
CHECK_SENSOR, 5/1, No, BARE_FLOOR, No,OPEN,OBSTICLE,OPEN,OPEN,45.0,6
